"County","month","year","spi1"
"Boone ",4,1998,0.722771644592285
"Box Butte ",4,1998,-1.16912984848022
"Boyd ",4,1998,1.29688382148743
"Brown ",4,1998,-0.476922571659088
"Buffalo ",4,1998,0.404852211475372
"Burt ",4,1998,1.40111243724823
"Butler ",4,1998,1.02767336368561
"Cass ",4,1998,0.886643588542938
"Cedar ",4,1998,1.59668588638306
"Chase ",4,1998,-1.29807770252228
"Cherry ",4,1998,-1.1901273727417
"Cheyenne ",4,1998,-1.0167647600174
"Clay ",4,1998,0.748504459857941
"Colfax ",4,1998,1.02408993244171
"Cuming ",4,1998,1.34476339817047
"Custer ",4,1998,-0.313607782125473
"Dakota ",4,1998,1.77205073833466
"Dawes ",4,1998,-1.44453835487366
"Dawson ",4,1998,-0.726271629333496
"Deuel ",4,1998,-1.19282007217407
"Dixon ",4,1998,1.74091637134552
"Dodge ",4,1998,1.00813555717468
"Douglas ",4,1998,0.760746538639069
"Dundy ",4,1998,-1.10690975189209
"Fillmore ",4,1998,0.585171937942505
"Franklin ",4,1998,0.545726954936981
"Frontier ",4,1998,-1.10762047767639
"Furnas ",4,1998,-0.237727269530296
"Gage ",4,1998,0.0796232298016548
"Garden ",4,1998,-1.19301390647888
"Garfield ",4,1998,0.702035903930664
"Gosper ",4,1998,-0.588883638381958
"Grant ",4,1998,-1.15841317176819
"Greeley ",4,1998,0.740161418914795
"Hall ",4,1998,0.842665135860443
"Hamilton ",4,1998,1.04690623283386
"Harlan ",4,1998,0.12001071870327
"Hayes ",4,1998,-1.19198167324066
"Hitchcock ",4,1998,-0.943352222442627
"Holt ",4,1998,0.988602757453918
"Hooker ",4,1998,-1.03780913352966
"Howard ",4,1998,0.798234045505524
"Jefferson ",4,1998,0.443332254886627
"Johnson ",4,1998,0.0734684988856316
"Kearney ",4,1998,0.508882641792297
"Keith ",4,1998,-1.09493768215179
"Keya Paha ",4,1998,-0.0794936567544937
"Kimball ",4,1998,-0.651853561401367
"Knox ",4,1998,1.39860010147095
"Lancaster ",4,1998,0.372157841920853
"Lincoln ",4,1998,-1.15131592750549
"Logan ",4,1998,-0.86553031206131
"Loup ",4,1998,0.258854985237122
"Madison ",4,1998,0.871967136859894
"McPherson ",4,1998,-1.04326260089874
"Merrick ",4,1998,1.02818834781647
"Morrill ",4,1998,-1.04104328155518
"Nance ",4,1998,0.902326703071594
"Nemaha ",4,1998,0.301580667495728
"Nuckolls ",4,1998,1.02087450027466
"Otoe ",4,1998,0.51168692111969
"Pawnee ",4,1998,-0.0375328026711941
"Perkins ",4,1998,-1.24126946926117
"Phelps ",4,1998,-0.0198862794786692
"Pierce ",4,1998,1.07244694232941
"Platte ",4,1998,0.997183442115784
"Polk ",4,1998,1.14862155914307
"Red Willow ",4,1998,-0.822950541973114
"Richardson ",4,1998,0.156363144516945
"Rock ",4,1998,0.211966767907143
"Saline ",4,1998,0.44157537817955
"Sarpy ",4,1998,0.767396211624146
"Saunders ",4,1998,0.76546722650528
"Scotts Bluff ",4,1998,-0.54673570394516
"Seward ",4,1998,0.768690645694733
"Sheridan ",4,1998,-1.48266017436981
"Sherman ",4,1998,0.703121423721313
"Sioux ",4,1998,-0.990720868110657
"Stanton ",4,1998,1.21421492099762
"Thayer ",4,1998,0.804657161235809
"Thomas ",4,1998,-0.735736012458801
"Thurston ",4,1998,1.66382277011871
"Valley ",4,1998,0.692766129970551
"Washington ",4,1998,0.966431140899658
"Wayne ",4,1998,1.45713078975677
"Webster ",4,1998,0.884067595005035
"Wheeler ",4,1998,0.828582048416138
"York ",4,1998,0.852325975894928
"Adams ",5,1998,-0.724913418292999
"Antelope ",5,1998,-0.669090688228607
"Arthur ",5,1998,0.661221623420715
